experiment_id,date,hypothesis,motivation,baseline,code_changes,parameters,symbol,strategy,training_period,validation_period,test_period,backtest_command,result,PnL,trade_count,win_rate,profit_factor,drawdown,interpretation,decision,next_action
EXP_0001,2026-09-06,Baseline STOCH_RSI at 75x with TP=2t and SL=25% ROE produces ~85% win rate due to absorbing barrier geometry (+2 vs -10 ticks).,Reconstruct official STOCH_RSI baseline on 24-day discovery period.,CURRENT_PRODUCTION,None (Baseline Reconstruction),"strat=STOCH_RSI,tp=2,sl=ROE:25.0",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode ROE,BASELINE,0.2120,3066,77.3973,1.2876,12.6904,"Trades: 3066, WR: 77.40%, PF: 1.29, PnL: +0.2120 USDT. Absorbing barrier baseline.",ESTABLISHED_BASELINE,Conduct granular loss forensics on baseline outcomes
EXP_0002,2026-09-06,Baseline EMA_CROSSOVER at 75x with TP=2t and SL=25% ROE produces similar absorbing barrier outcome.,Reconstruct official EMA_CROSSOVER baseline on 24-day discovery period.,CURRENT_PRODUCTION,None (Baseline Reconstruction),"strat=EMA_CROSSOVER,tp=2,sl=ROE:25.0",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode ROE,BASELINE,0.0540,1765,74.9008,1.1137,45.3202,"Trades: 1765, WR: 74.90%, PF: 1.11, PnL: +0.0540 USDT. EMA crossover baseline.",ESTABLISHED_BASELINE,Conduct granular loss forensics on baseline outcomes
EXP_0003,2026-09-06,Symmetric TP=2 / SL=2 diagnostic test isolates entry directional skill without absorbing barrier asymmetry.,Diagnostic test of raw directional predictability for STOCH_RSI.,EXP_0001,None (Baseline Reconstruction),"strat=STOCH_RSI,tp=2,sl=TICKS:2",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS,BASELINE,0.0264,4014,50.8221,1.0334,18.1818,"Trades: 4014, WR: 50.82%, PF: 1.03, PnL: +0.0264 USDT. Raw directional skill.",ESTABLISHED_BASELINE,Conduct granular loss forensics on baseline outcomes
EXP_0004,2026-09-06,Symmetric TP=2 / SL=2 diagnostic test isolates entry directional skill for EMA_CROSSOVER.,Diagnostic test of raw directional predictability for EMA_CROSSOVER.,EXP_0002,None (Baseline Reconstruction),"strat=EMA_CROSSOVER,tp=2,sl=TICKS:2",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS,BASELINE,-0.002800,2415,49.8551,0.9942,29.4444,"Trades: 2415, WR: 49.86%, PF: 0.99, PnL: -0.0028 USDT. Raw directional skill.",ESTABLISHED_BASELINE,Conduct granular loss forensics on baseline outcomes
EXP_0005,2026-09-06,Evaluating TP=2/SL=3 ticks to measure empirical absorption probability vs random walk boundary (60.0%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=3",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 3,INCONCLUSIVE,0.1196,3669,63.2597,1.1479,15.3034,"Trades: 3669, WR: 63.26% (RW: 60.0%, Delta: +3.26%), PF: 1.15, PnL: +0.1196 USDT, DD: 15.30%",INCONCLUSIVE,Analyze delta_p peak and expected payoff curve
EXP_0006,2026-09-06,Evaluating TP=2/SL=4 ticks to measure empirical absorption probability vs random walk boundary (66.7%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=4",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 4,INCONCLUSIVE,0.1576,3352,70.5847,1.1998,8.0808,"Trades: 3352, WR: 70.58% (RW: 66.7%, Delta: +3.92%), PF: 1.20, PnL: +0.1576 USDT, DD: 8.08%",INCONCLUSIVE,Analyze delta_p peak and expected payoff curve
EXP_0007,2026-09-06,Evaluating TP=2/SL=5 ticks to measure empirical absorption probability vs random walk boundary (71.4%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 5,PROMISING,0.2040,3114,76.1079,1.2742,8.3990,"Trades: 3114, WR: 76.11% (RW: 71.4%, Delta: +4.68%), PF: 1.27, PnL: +0.2040 USDT, DD: 8.40%",PROMISING,Analyze delta_p peak and expected payoff curve
EXP_0008,2026-09-06,Evaluating TP=2/SL=6 ticks to measure empirical absorption probability vs random walk boundary (75.0%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=6",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 6,PROMISING,0.1868,2931,78.9833,1.2527,12.6904,"Trades: 2931, WR: 78.98% (RW: 75.0%, Delta: +3.98%), PF: 1.25, PnL: +0.1868 USDT, DD: 12.69%",PROMISING,Analyze delta_p peak and expected payoff curve
EXP_0009,2026-09-06,Evaluating TP=2/SL=8 ticks to measure empirical absorption probability vs random walk boundary (80.0%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=8",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 8,PROMISING,0.1888,2562,83.6846,1.2823,14.0271,"Trades: 2562, WR: 83.68% (RW: 80.0%, Delta: +3.68%), PF: 1.28, PnL: +0.1888 USDT, DD: 14.03%",PROMISING,Analyze delta_p peak and expected payoff curve
EXP_0010,2026-09-06,Evaluating TP=2/SL=10 ticks to measure empirical absorption probability vs random walk boundary (83.3%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=10",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 10,PROMISING,0.1712,2288,86.4510,1.2761,15.8879,"Trades: 2288, WR: 86.45% (RW: 83.3%, Delta: +3.12%), PF: 1.28, PnL: +0.1712 USDT, DD: 15.89%",PROMISING,Analyze delta_p peak and expected payoff curve
